name,email,company,job_title,phone,opened_email,visited_site,filled_form,opened_email_date,visited_site_date,filled_form_date,score,score_reason,status
Maria Davis,laurathomas@example.net,Waters-Powell,"Lecturer, higher education",001-563-364-1452x0304,True,True,False,2026-04-11,2026-05-05,,34.7,Visited site · Opened email,Cold
Mrs. Patricia Thomas PhD,dmacias@example.com,Smith Group,Film/video editor,3816853973,False,True,False,,2026-05-17,,33.4,Visited site,Cold
Thomas Kirk,maryfoley@example.com,"Brewer, King and Hull","Engineer, maintenance (IT)",937-429-0344,True,True,False,2026-05-17,2026-04-15,,33.3,Visited site · Opened email,Cold
Amy Savage,tatkins@example.org,"Dixon, Peters and Ballard",Sales promotion account executive,(847)549-9453x5123,True,True,False,2026-03-12,2026-05-07,,32.6,Visited site · Opened email,Cold
Joseph Ellis,beth50@example.com,"Sandoval, White and White",Merchant navy officer,4628277697,False,False,True,,,2026-04-30,32.2,Filled form,Cold
Colton Thompson,barreracharles@example.org,Gonzales PLC,Economist,001-237-692-1697x02051,False,True,False,,2026-05-14,,31.2,Visited site,Cold
Nathaniel Riddle,andrewlittle@example.org,Grant Group,Dance movement psychotherapist,993.370.3751,True,True,False,2026-05-11,2026-04-14,,30.9,Visited site · Opened email,Cold
Steven Kennedy,fwright@example.org,Cannon-Rivera,"Conservator, museum/gallery",293-963-1227x74494,False,False,True,,,2026-04-27,30.1,Filled form,Cold
Karen Edwards,crossjoshua@example.net,Leon-Taylor,Broadcast journalist,237-671-8055,True,True,False,2026-03-03,2026-05-04,,30.0,Visited site · Opened email,Cold
Julie Kelly,karen01@example.net,"Fitzgerald, Brown and Holland",Further education lecturer,257.487.0184,False,False,True,,,2026-04-26,29.4,Filled form,Cold
Kevin Hunter DDS,opearson@example.org,Thompson-Day,Community arts worker,270.398.8654,True,True,False,2026-03-24,2026-04-30,,29.3,Visited site · Opened email,Cold
