name,email,company,job_title,phone,opened_email,visited_site,filled_form,opened_email_date,visited_site_date,filled_form_date,score,score_reason,status
Catherine Todd,freemancatherine@example.com,Dougherty LLC,Town planner,001-810-599-9230x377,True,True,True,2026-03-12,2026-05-06,2026-04-24,68.5,Filled form · Visited site · Opened email,Warm
Toni Young,lawrencewatson@example.net,"French, Ballard and Lopez","Education officer, environmental",879.460.7509x41754,True,True,True,2026-02-19,2026-04-09,2026-05-10,67.7,Filled form · Visited site · Opened email,Warm
Thomas Moore,porternicholas@example.org,"Hardin, Hawkins and Spencer",Rural practice surveyor,(630)697-8848,False,True,True,,2026-05-11,2026-04-29,66.7,Filled form · Visited site,Warm
Julie Kirk,tiffany67@example.net,Ali PLC,Food technologist,883-524-8473x2098,True,False,True,2026-05-19,,2026-05-15,66.6,Filled form · Opened email,Warm
Scott Gonzalez,anthonymartinez@example.com,"Hughes, Moore and Anderson",Chief Executive Officer,+1-894-796-3258x4213,True,False,True,2026-05-18,,2026-05-15,66.3,Filled form · Opened email,Warm
Nicole Garza,jacquelinestein@example.com,Evans Ltd,"Psychologist, occupational",001-345-267-5681,True,True,True,2026-04-21,2026-04-16,2026-04-28,66.0,Filled form · Visited site · Opened email,Warm
Shawn Singh,estevenson@example.net,"Vaughn, Cook and Cooley",Insurance risk surveyor,+1-664-774-4505x091,True,True,True,2026-03-23,2026-04-09,2026-05-05,64.9,Filled form · Visited site · Opened email,Warm
Michael Johnson,rstevens@example.net,Evans-Santiago,Social worker,893-342-9218x25603,False,True,True,,2026-04-25,2026-05-07,63.8,Filled form · Visited site,Warm
Brianna Hunt,stanley67@example.net,"Brown, Allen and Taylor",Meteorologist,785-862-7440,False,True,True,,2026-04-11,2026-05-12,62.8,Filled form · Visited site,Warm
Eric Barnes,jimenezfelicia@example.com,Roberts LLC,Geophysicist/field seismologist,+1-605-854-7856x8456,True,True,True,2026-03-20,2026-04-16,2026-04-29,61.9,Filled form · Visited site · Opened email,Warm
Monica Graham,robert34@example.org,Taylor-Jones,"Engineer, energy",769-301-8763x2528,False,True,True,,2026-04-27,2026-05-02,60.3,Filled form · Visited site,Warm
Katherine Castillo,navarrojill@example.com,Lopez PLC,Community education officer,860.857.1854x68230,True,True,True,2026-03-10,2026-04-17,2026-04-27,59.7,Filled form · Visited site · Opened email,Warm
Brittany Vargas,sbrown@example.net,Simpson Ltd,Musician,001-397-450-5908x108,False,True,True,,2026-04-19,2026-05-04,58.1,Filled form · Visited site,Warm
